NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,14-13-0111-45,14-042,QUICHE,NEBAJ,INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA DE ENSEÑANZA,ALDEA SUMAL GRANDE,46302796,MARTA CELIA VENTURA RAMIREZ,JACINTO BERNAL RAYMUNDO,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0112-45,14-019,QUICHE,NEBAJ,"COLEGIO PRIVADO MIXTO ""JESUS RUANO MORENO""",NEBAJ,30839684,FERNANDO PEDRO LOPEZ DE LEON,JESÚS BRITO RAYMUNDO,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
,14-13-0113-45,14-019,QUICHE,NEBAJ,COLEGIO CRISTIANO NICOLÁS,"CASERÍO VIKOLÁ, ALDEA RIO AZUL",30355886,FERNANDO PEDRO LOPEZ DE LEON,PETRONILA ELIZABETH RAMOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0114-46,14-019,QUICHE,NEBAJ,COLEGIO CRISTIANO NICOLÁS,"CASERÍO VIKOLÁ, ALDEA RIO AZUL",30355886,FERNANDO PEDRO LOPEZ DE LEON,PETRONILA ELIZABETH RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0115-45,14-037,QUICHE,NEBAJ,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,ALDEA XEVITZ,45621316,ANGELINA LUX MENDOZA DE PUAC,MIGUEL DANIEL COBO CETO,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
,14-13-0116-42,14-018,QUICHE,NEBAJ,"COLEGIO EVANGÉLICO METODISTA BILINGÜE ""LUZ Y VIDA""",ALDEA SALQUIL GRANDE,45994570,SANTOS REYES DE PAZ CRUZ,ANA EDILZA PÉREZ PÉREZ,PARVULOS,PRIVADO,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0117-45,14-018,QUICHE,NEBAJ,"COLEGIO EVANGÉLICO METODISTA BILINGÜE ""LUZ Y VIDA""",ALDEA SALQUIL GRANDE,45994570,SANTOS REYES DE PAZ CRUZ,ANGELITA FELICIANA PÉREZ RAYMUNDO,BASICO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0118-46,14-019,QUICHE,NEBAJ,"COLEGIO PRIVADO MIXTO ""JESÚS RUANO MORENO""",CANTÓN XOLACUL,30839684,FERNANDO PEDRO LOPEZ DE LEON,JESUS BRITO RAYMUNDO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
,14-13-0119-45,14-042,QUICHE,NEBAJ,INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA DE ENSEÑANZA,ALDEA VICALAMÁ,59197844,MARTA CELIA VENTURA RAMIREZ,FRANCISCO RAYMUNDO COBO,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0120-46,14-049,QUICHE,NEBAJ,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,CANTÓN VICOTZ,49371982,JACINTO GOMEZ CEDILLO,AROLDO RIVAS PÉREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ
