NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,06-01-0089-44,06-001,SANTA ROSA,CUILAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,BARRIO EL LLANITO 1RA CALLE ZONA 4,53269577,IRMA YOLANDA CHACON ARROYO,ROMULO BARRIENTOS MONTERROSO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA
,06-01-0090-42,06-001,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,ALDEA SAN JOSE LAS BRISAS,,IRMA YOLANDA CHACON ARROYO,JEMMER CAZUN NICOLAS,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0091-46,06-001,SANTA ROSA,CUILAPA,"COLEGIO TECNOLOGICO MODERNO ""NUESTRA SEÑORA DE LA ASUNCION""","ALDEA GUACAMAYAS, VILLA LAURA",41064795,IRMA YOLANDA CHACON ARROYO,JULIO HILARIO SANCHEZ CARILLO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0092-42,06-001,SANTA ROSA,CUILAPA,EODP,BARRIO LA PARROQUIA,78865390,IRMA YOLANDA CHACON ARROYO,SANDRA YANIRA HERNÁNDEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0093-41,06-001,SANTA ROSA,CUILAPA,COPB ANEXO A EORM,ALDEA SAN JUAN DE ARANA,78233945,IRMA YOLANDA CHACON ARROYO,MARTA LIDIA SARMIENTOS VICTORIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0094-41,06-001,SANTA ROSA,CUILAPA,COPB ANEXO A EORM,CASERÍO CUILAPILLA,78233944,IRMA YOLANDA CHACON ARROYO,MARTA LIDIA SARMIENTOS VICTORIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0095-41,06-001,SANTA ROSA,CUILAPA,COPB ANEXO A EORM,ALDEA SAN JOSÉ LAS BRISAS,78233944,IRMA YOLANDA CHACON ARROYO,MARTA LIDIA SARMIENTOS VICTORIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0096-43,06-001,SANTA ROSA,CUILAPA,EORM NO. 02,PARCELAMIENTO CONCEPCIÓN,42802541,IRMA YOLANDA CHACON ARROYO,AXEL RONAEL CHAJÓN MARTÍNEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0097-42,06-001,SANTA ROSA,CUILAPA,EODP NO. 02,PARCELAMIENTO CONCEPCIÓN,50198115,IRMA YOLANDA CHACON ARROYO,----,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0098-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERÍO LAS VEGAS DE SAN JOSÉ,41181128,IRMA YOLANDA CHACON ARROYO,--,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
